Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Super Pit,Golden Mile,J00102,Operating,Mine,38369264,836.282,1.43,14285387,363.973,1.22,Resource,"Indicated, Inferred, Measured",31/03/2025,41.2,25,273.6,185.9,-30.777958,121.50353,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,5,133
Fimiston Superpit,Golden Mile,J00102,Operating,Mine,29346215,570.144,1.6,1884976,25.491,2.3,Resource,"Indicated, Inferred",31/03/2025,41.2,25,273.6,185.9,-30.777958,121.50353,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,4,26
Golden Valley,Kanowna -Golden Valley,J00181,Shut,Mine,8003642,108.982,2.28,1171843,24.64,1.48,Resource,"Indicated, Inferred, Measured",31/03/2025,45.8,25,276.4,204.4,-30.570241,121.466638,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),7,158
Kundana,Kundana - White Flag,J00358,Undeveloped,Deposit,7182120,171.525,1.3,2127267,50.92,1.3,Resource,"Indicated, Inferred, Measured",31/12/2024,35.9,15,250.1,182.1,-30.696097,121.224594,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,8,91
South Kal Group,South Kalgoorlie Operations,J00276,Shut,Mine,3164913,36.791,2.68,710220,6.087,3.63,Resource,"Indicated, Inferred, Measured",31/03/2025,40.8,15,261.2,153.9,-31.080905,121.432009,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,6,91
Kanowna Belle,Kanowna -Golden Valley,J00181,Operating,Mine,2996398,18.826,4.95,2133344,14.024,4.73,Resource,"Indicated, Inferred, Measured",20/06/2002,34.3,25,285.3,205.7,-30.60898,121.578017,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),3,20
New Celebration,South Kalgoorlie Operations,J00276,Shut,Mine,2570819,60.43,1.32,28222,0.399,2.2,Resource,"Indicated, Inferred, Measured",30/06/2001,48.0,25,278.1,168.4,-31.026987,121.602482,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,7
Mt Charlotte,Golden Mile,J00102,Operating,Mine,1905896,28.2,2.1,508496,7.49,2.11,Resource,"Indicated, Inferred",30/06/2020,42.6,25,272.3,187.8,-30.746428,121.480914,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,8
Jubilee,South Kalgoorlie Operations,J00276,Shut,Mine,1861683,29.065,1.99,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2000,48.3,25,278.4,168.2,-31.033183,121.606811,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,6,6
Phoenix,Bullabulling,J00033,Shut,Mine,1842238,57.0,1.01,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,12.0,15,212.7,139.3,-31.006446,120.905612,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,5
Mick Adams,Mungari,J04814,Proposed,Mine,1766812,57.0,0.96,0,0,0.0,Resource,"Indicated, Inferred",14/01/2015,31.3,16,234.8,182.0,-30.639526,121.035224,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,7
White Foil,Mungari,J04814,Proposed,Mine,1731784,44.35,1.21,0,0,0.0,Resource,"Indicated, Inferred",31/12/2020,30.7,15,250.3,175.1,-30.773712,121.250613,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,30
Aphrodite,Aphrodite,J03406,Proposed,Mine,1638589,25.506,2.0,0,0,0.0,Resource,"Indicated, Inferred",29/03/2021,42.7,29,272.3,236.2,-30.181097,121.229587,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),4,40
Frogs Leg,Mungari,J04814,Care and Maintenance,Mine,1623995,8.914,5.67,0,0,0.0,Resource,"Indicated, Inferred, Measured",19/01/2005,33.0,15,252.4,177.1,-30.761566,121.270113,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,7
Bacchus,Bullabulling,J00033,Shut,Mine,1568956,46.0,1.06,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,13.1,15,211.9,137.6,-31.021157,120.900169,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,5
Daisy-Milano,Randalls - Mt Monger,J00251,Operating,Mine,1226107,2.323,16.42,85418,0.394,6.74,Resource,"Indicated, Inferred, Measured",30/06/2026,35.5,25,308.4,189.9,-31.013124,121.921372,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,96
Ora Banda,Ora Banda,J04664,Care and Maintenance,Mine,1125887,14.0,2.5,366036,2.53,4.5,Resource,"Indicated, Inferred, Measured",30/06/2000,48.0,16,250.7,212.0,-30.372109,121.088425,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,3,5
Tindals Group,Coolgardie,J00014,Proposed,Mine,1125357,13.712,2.55,0,0,0.0,Resource,"Indicated, Inferred",31/12/2018,14.4,15,238.6,152.1,-30.971116,121.175024,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,8,25
Yilgarn Star,Marvel Loch - Southern Cross,J00226,Proposed,Mine,1005781,5.138,6.09,144238,1.547,2.9,Resource,"Indicated, Inferred, Measured",25/07/2016,38.9,77,96.4,107.2,-31.533454,119.678482,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,11
Edna May UG,Edna May - Westonia,J00357,Care and Maintenance,Mine,989986,30.72,1.0,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2024,20.9,70,1.5,197.5,-31.291758,118.700165,Ramelius Resources Ltd,"Evolution Mining Limited (Royalties%); Ramelius Resources Ltd (100.00%); Edna May Operations Pty Ltd; Royal Gold, Inc. (Royalties%)",3,36
Hercules,South Kalgoorlie Operations,J00276,Undeveloped,Deposit,913795,13.379,2.12,242889,2.437,3.1,Resource,"Indicated, Inferred",31/03/2025,39.4,15,262.7,161.6,-30.999238,121.435097,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,4,5
Gimlet S,Ora Banda,J04664,Shut,Mine,912760,10.7,2.65,0,0,0.0,Resource,"Indicated, Inferred",30/06/1996,45.2,16,247.8,210.0,-30.384247,121.062007,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,2,2
Aphrodite Openpit,Aphrodite,J03406,Proposed,Mine,910831,17.1,1.66,0,0,0.0,Resource,"Indicated, Inferred",31/12/2025,42.5,29,271.9,236.1,-30.180871,121.225082,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),2,2
Resources Group,Mungari,J04814,Proposed,Mine,894074,24.11,1.15,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,31.3,16,234.8,182.0,-30.639526,121.035224,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,32
Res Group,Binduli,J00019,Shut,Mine,817770,27.35,0.93,0,0,0.0,Resource,Inferred,31/12/2014,39.1,15,263.0,174.6,-30.846727,121.407511,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),1,3
Frogs Leg,Mungari,J04814,Shut,Mine,771334,2.868,8.37,0,0,0.0,Resource,"Indicated, Inferred, Measured",20/03/2007,33.0,15,252.4,177.1,-30.761566,121.270113,Evolution Mining Limited,Evolution Mining Limited (100.00%),3,31
Santa OP,Randalls - Mt Monger,J00251,Operating,Mine,770293,8.458,2.83,262697,4.955,1.65,Resource,"Indicated, Inferred, Measured",30/06/2025,47.3,25,335.4,208.3,-31.040925,122.209992,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,53
Resources Group,Binduli,J00019,Operating,Mine,766165,29.35,0.81,0,0,0.0,Resource,"Indicated, Inferred",31/12/2014,38.6,15,262.0,176.1,-30.823799,121.3912,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,35
Yilgarn Star Group,Marvel Loch - Southern Cross,J00226,Proposed,Mine,755575,9.18,2.56,256306,2.95,2.7,Resource,"Indicated, Inferred, Measured",30/06/2003,38.9,77,96.4,107.2,-31.533454,119.678482,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",5,31
Davyhurst,Davyhurst,J00084,Care and Maintenance,Mine,751363,9.74,2.4,0,0,0.0,Resource,"Indicated, Inferred",30/08/2006,35.4,30,226.5,229.4,-30.150208,120.65021,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,26
Racetrack,Paddington - Mt Pleasant,J00292,Operating,Mine,737493,10.6,2.16,0,0,0.0,Resource,"Indicated, Inferred",31/12/2014,49.9,15,255.2,196.6,-30.556269,121.22704,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",3,10
Hampton UG,South Kalgoorlie Operations,J00276,Operating,Mine,734856,6.598,3.46,107444,1.066,3.13,Resource,"Indicated, Inferred, Measured",30/06/2017,48.4,25,278.4,168.0,-31.034563,121.606586,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,30
Golden Pig,Cygnet Gold,J06925,Shut,Mine,699409,5.869,3.71,0,0,0.0,Resource,"Indicated, Inferred, Measured",19/08/2024,13.0,77,59.7,155.0,-31.231594,119.319783,China Hanking Holdings Limited,"Royal Gold, Inc. (Royalties%); China Hanking Holdings Limited; Barto Gold Mining Pty Ltd; Cygnet Gold Pty Ltd (100.00%); International Royalty Corporation (Royalties%)",3,3
Brilliant South,Coolgardie,J00014,Shut,Mine,692964,12.93,1.67,0,0,0.0,Resource,"Indicated, Inferred",23/02/2022,15.2,15,239.4,152.6,-30.969516,121.18281,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,4,18
Aphrodite,Aphrodite,J03406,Proposed,Mine,690598,5.7,3.77,0,0,0.0,Resource,"Indicated, Inferred",31/12/2024,42.7,29,272.3,236.2,-30.181097,121.229587,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),2,7
Copperhead,Cygnet Gold,J06925,Shut,Mine,679316,5.145,4.11,0,0,0.0,Resource,"Indicated, Inferred",19/08/2024,43.0,77,54.7,188.2,-30.976507,119.12591,China Hanking Holdings Limited,"Royal Gold, Inc. (Royalties%); China Hanking Holdings Limited; Barto Gold Mining Pty Ltd; Cygnet Gold Pty Ltd (100.00%); International Royalty Corporation (Royalties%)",2,4
Mt Marion UG,South Kalgoorlie Operations,J00276,Shut,Mine,614320,5.632,3.39,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2015,40.8,15,261.2,153.9,-31.080905,121.432009,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,5,20
Haoma-Haoma West,Randalls - Mt Monger,J00251,Care and Maintenance,Mine,609419,1.265,14.98,144871,0.725,6.22,Resource,"Indicated, Inferred, Measured",30/06/2014,35.7,25,308.4,189.7,-31.015079,121.92134,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,4,17
Golden Mile,Golden Mile,J00102,Shut,Mine,607649,12.6,1.5,0,0,0.0,Resource,Measured,30/06/1999,41.5,25,273.3,186.8,-30.764527,121.496409,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Saracen Mineral Holdings Ltd; Northern Star (Klv) Pty Ltd; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,3
Dicksons,Bullabulling,J00033,Undeveloped,Deposit,594789,18.5,1.0,0,0,0.0,Resource,"Indicated, Inferred",01/12/2025,11.3,15,213.1,141.5,-30.986245,120.906611,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,4
Riverina UG,Davyhurst,J00084,Operating,Mine,589429,7.045,2.6,98063,0.97,3.14,Resource,"Indicated, Inferred, Measured",01/07/2025,14.1,30,249.2,274.1,-29.74401,120.56481,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",3,29
Carbine OP,Carbine,J04549,Proposed,Mine,569563,8.881,1.99,106001,1.099,3.0,Resource,"Indicated, Inferred",30/06/2018,27.6,16,230.6,196.2,-30.481737,120.916408,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,4,5
Nevoria East - Silver,Marvel Loch - Southern Cross,J00226,Proposed,Mine,535246,4.58,3.63,0,0,0.0,Resource,"Indicated, Inferred",31/12/2007,32.2,77,87.3,115.5,-31.507036,119.586512,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,2
Transvaal,Marvel Loch - Southern Cross,J00226,Shut,Mine,529876,3.43,4.8,0,0,0.0,Resource,"Indicated, Inferred",25/07/2016,13.4,77,59.3,152.0,-31.269604,119.320508,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,8
Mt Marion Pit,South Kalgoorlie Operations,J00276,Care and Maintenance,Mine,518270,3.1,5.2,0,0,0.0,Resource,Inferred,30/11/1999,40.8,15,261.2,153.9,-31.080905,121.432009,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,5
Adelaide,Loc45,J06431,Shut,Mine,491135,8.509,1.8,0,0,0.0,Resource,"Indicated, Inferred",30/06/2015,42.0,25,286.3,174.8,-31.013253,121.68792,Lefroy Exploration Limited,Franco-Nevada Australia Pty Ltd. (Royalties%); Lefroy Exploration Limited (100.00%); Monger Exploration Pty Ltd; Hampton Metals Pty Ltd,4,6
Enterprise,Ora Banda,J04664,Care and Maintenance,Mine,488923,9.18,1.66,311160,4.839,2.0,Resource,"Indicated, Inferred",31/12/2014,48.0,16,250.7,212.0,-30.372109,121.088425,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,2,19
Burbanks Resources Group,Burbanks,J00069,Operating,Mine,470178,6.059,2.41,0,0,0.0,Resource,"Indicated, Inferred",05/07/2023,12.7,15,234.4,145.4,-31.024473,121.139869,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Kidman Resources Limited (Royalties%); Horizon Minerals Limited (100.00%),4,8
Jubilee,South Kalgoorlie Operations,J00276,Shut,Mine,464900,7.23,2.0,0,0,0.0,Resource,Inferred,13/02/2001,48.3,25,278.4,168.2,-31.033183,121.606811,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,3
Frasers,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,454277,2.591,5.45,37166,0.34,3.4,Resource,"Indicated, Inferred",25/07/2016,12.0,77,60.6,153.7,-31.239472,119.330762,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,9
Karonie,Aldiss - Karonie,J00184,Shut,Mine,451396,5.4,2.6,451396,5.4,2.6,Reserve,Probable,31/12/2006,31.3,28,368.8,235.7,-31.03367,122.561017,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,1,3
Ballarat - Last Chance,Kanowna -Golden Valley,J00181,Care and Maintenance,Mine,446879,10.53,1.32,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2009,32.8,25,287.7,208.0,-30.595652,121.599905,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),3,11
Frogs Leg UG,Mungari,J04814,Care and Maintenance,Mine,445687,4.7,2.95,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2020,33.0,15,252.4,177.1,-30.761566,121.270113,Evolution Mining Limited,Evolution Mining Limited (100.00%),3,49
Main Portal,Marvel Loch - Southern Cross,J00226,Operating,Mine,442578,4.617,2.98,0,0,0.0,Resource,"Indicated, Inferred, Measured",25/07/2016,25.2,77,77.5,125.3,-31.464555,119.492609,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",3,46
Mt Martin Pit,Loc45,J06431,Care and Maintenance,Mine,432338,9.082,1.48,0,0,0.0,Resource,"Indicated, Inferred",11/10/2024,42.2,25,285.8,174.5,-31.012837,121.682513,Lefroy Exploration Limited,Franco-Nevada Australia Pty Ltd. (Royalties%); Lefroy Exploration Limited (100.00%); Monger Exploration Pty Ltd; Hampton Metals Pty Ltd,2,12
Crown Jewel - Boorara,Boorara,J02851,Operating,Mine,429534,10.53,1.27,0,0,0.0,Resource,"Indicated, Inferred, Measured",25/07/2024,29.5,25,285.9,190.6,-30.803847,121.641924,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd; Horizon Minerals Limited (100.00%); Paddington Gold Pty LIMIted,3,29
Sovereign,Comet Vale -Queen,J00066,Undeveloped,Deposit,422300,3.0,4.38,0,0,0.0,Resource,"Indicated, Inferred",15/12/2025,15.6,29,276.9,258.0,-29.95323,121.128471,GBF Mining Pty Ltd,Neometals Ltd (Royalties%); GBF Mining Pty Ltd; Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd,4,4
Resources Group,Marvel Loch - Southern Cross,J00226,Operating,Mine,417768,3.805,3.41,0,0,0.0,Resource,"Indicated, Inferred",25/07/2016,32.3,77,87.4,115.4,-31.507251,119.588411,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,5
HBJ,South Kalgoorlie Operations,J00276,Shut,Mine,412902,7.549,1.7,81243,1.215,2.08,Resource,"Indicated, Inferred, Measured",30/06/2017,48.0,25,278.1,168.4,-31.026987,121.602482,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,11
Phi,Aphrodite,J03406,Proposed,Mine,409703,3.748,3.4,0,0,0.0,Resource,Inferred,30/06/2000,42.6,29,271.8,236.0,-30.181674,121.224445,Genesis Minerals Ltd,Franco-Nevada Australia Pty Ltd. (Royalties%); Genesis Minerals Ltd (100.00%),1,1
Bullant,Paddington - Mt Pleasant,J00292,Operating,Mine,404598,2.34,5.38,46450,0.427,3.38,Resource,"Indicated, Inferred, Measured",31/12/2014,36.2,16,241.1,194.6,-30.527457,121.057811,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",3,14
Zuleika Gp,Paddington - Mt Pleasant,J00292,Operating,Mine,395518,4.5,2.73,19098,0.18,3.3,Resource,"Indicated, Inferred, Measured",30/06/2000,36.2,16,241.1,194.6,-30.527457,121.057811,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",3,4
Enterprise UG,Ora Banda,J04664,Operating,Mine,389583,4.26,2.84,162063,1.626,3.1,Resource,"Indicated, Inferred",31/12/2014,48.0,16,250.7,212.0,-30.372066,121.088658,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,2,8
Janet Ivy,Binduli,J00019,Operating,Mine,389127,13.61,0.89,85445,2.394,1.11,Resource,"Indicated, Inferred",31/12/2014,40.6,15,262.5,180.6,-30.774454,121.383338,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,30
Carbine,Carbine,J04549,Proposed,Mine,384909,4.76,2.52,79798,1.241,2.0,Resource,"Indicated, Inferred",31/03/2021,27.6,16,230.6,196.2,-30.481737,120.916408,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,4,18
Nevoria UG,Marvel Loch - Southern Cross,J00226,Operating,Mine,384015,3.513,3.4,0,0,0.0,Resource,Indicated,31/12/2015,32.3,77,87.4,115.4,-31.507251,119.588411,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,9
CHS 2,Mungari,J04814,Shut,Mine,364831,6.76,1.68,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,29.5,16,234.2,186.5,-30.590822,121.008581,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,13
Lakeview,Comet Vale -Queen,J00066,Undeveloped,Deposit,364654,3.31,3.43,0,0,0.0,Resource,"Indicated, Inferred",15/12/2025,15.8,29,278.4,258.7,-29.950465,121.145031,GBF Mining Pty Ltd,Neometals Ltd (Royalties%); GBF Mining Pty Ltd; Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd,4,4
