Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Bullfinch,Cygnet Gold,J06925,Shut,Infrastructure,3376,0.15,0.7,3376,0.15,0.7,Reserve,Proven,01/01/1988,42.7,77,54.8,187.9,-30.978147,119.12871,China Hanking Holdings Limited,"Royal Gold, Inc. (Royalties%); China Hanking Holdings Limited; Barto Gold Mining Pty Ltd; Cygnet Gold Pty Ltd (100.00%); International Royalty Corporation (Royalties%)",1,1
Windmills,Marvel Loch - Southern Cross,J00226,Operating,Mine,3267,0.04,2.54,0,0,0.0,Resource,Indicated,30/06/1993,31.3,77,84.0,117.9,-31.509527,119.549807,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Carbine,Carbine,J04549,Shut,Infrastructure,3215,0.1,1.0,0,0,0.0,Resource,Indicated,14/12/1994,27.9,16,231.2,196.0,-30.485627,120.924709,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,1,1
Smith Dam,South Kalgoorlie Operations,J00276,Shut,Mine,3215,0.05,2.0,3215,0.05,2.0,Reserve,Probable,01/01/1995,39.2,15,263.6,167.3,-30.936276,121.433036,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,1
Dreadnought North,Coolgardie,J00014,Proposed,Mine,3108,0.054,1.79,3108,0.054,1.79,Reserve,Probable,18/05/2011,14.2,15,237.8,149.7,-30.993281,121.170222,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,1
Georges Reward,Bulong South,J03557,Shut,Mine,3064,0.044,2.19,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2017,20.3,25,297.1,196.5,-30.815185,121.763983,Horizon Minerals Limited,Haoma Mining NL (Royalties%); Horizon Minerals Limited (100.00%); Aurenne Group Proprietry Limited,3,13
Bacall Central,Broads Dam,J00353,Proposed,Mine,3041,0.055,1.72,0,0,0.0,Resource,Inferred,30/09/2011,40.2,16,244.7,190.8,-30.579514,121.120246,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",1,1
Caledonian,Caledonian - Summit,J02501,Undeveloped,Deposit,3032,0.023,4.1,0,0,0.0,Resource,Inferred,30/09/2000,34.9,25,308.3,190.2,-31.007307,121.919711,Vault Minerals Limited,Vault Minerals Limited (100.00%),1,1
Credo,Credo,J00122,Undeveloped,Deposit,3017,0.093,1.01,0,0,0.0,Resource,Indicated,01/10/2018,25.8,16,219.4,199.8,-30.426016,120.755998,"SANDHU, Tanvanth Singh","SANDHU, Tanvanth Singh (100.00%)",1,1
Burbidge E,Parker Range - Burbidge,J03069,Undeveloped,Deposit,2911,0.045,1.99,0,0,0.0,Resource,Inferred,30/04/2015,40.7,77,89.4,110.0,-31.589826,119.579813,Sammy Resources Pty Ltd,Sammy Resources Pty Ltd (100.00%),1,2
